Team,Team (No Emoji)
⛄16 Months and 6 Days,16 Months and 6 Days
"🎉Allison, Evans and Flower","Allison, Evans and Flower"
🐯Debabes,Debabes
"🚀Elford, Soane and Wright","Elford, Soane and Wright"
"🍞Ferdinand, Lawrence and Short","Ferdinand, Lawrence and Short"
"🎮2 Toms, 1 Cup","2 Toms, 1 Cup"
"🍫Have a BREAK, have a Kit KAT","Have a BREAK, have a Kit KAT"
💿Not the Droids You're Looking For,Not the Droids You're Looking For
🕹Olly and Seamus,Olly and Seamus
🚣Spicy Margarine,Spicy Margarine
💤The Boys Light Up,The Boys Light Up
😴Third Speaker/Wheel,Third Speaker/Wheel
⚓We need Global Warming,We need Global Warming
😡WOODforde on DecLANd is a BARRIEr,WOODforde on DecLANd is a BARRIEr
🕷xX_3p1c_G4m3rz_Xx,xX_3p1c_G4m3rz_Xx
😟Swing,Swing
